,title,date,count_no_deps,no_deps,url,0 Зарегистрировались,0 перерыв,1 Зарегистрировались,1 перерыв,2 Зарегистрировались,2 перерыв,3 Зарегистрировались,4 Зарегистрировались,5 Зарегистрировались,6 Зарегистрировались
277,протокол № 15 от 27.10.2016 г.,27.10.2016,11,"Асылбек уулу Д., Исаева Д.Ш. (право голосования передано депутату Мавляновой М.Э. в письменной форме), Жамалдинов З.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Жамангулов А.Ж. (право голосования передано депутату Бабанову О.Т. в письменной форме), Жунус уулу Алтынбек (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Маматов А., Мамытов Т.Т. (право голосования передано депутату Бокоеву К.С. в письменной форме), Нишанов Н.Н. (право голосования передано депутату Туманбаевой Р.М. в письменной форме), Токтошев Э.Т., Тулендыбаев П.Р. (право голосования передано депутату Зулушеву К.А. в письменной форме), Шер-Нияз С.",http://kenesh.kg/ru/article/show/808/protokol-15-ot-27-10-2016-g,73,15 минут,101,,,,,,,
278,протокол № 14 от 26.10.2016 г.,26.10.2016,12,"Асылбек уулу Д., Жамалдинов З.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Жамангулов А.Ж. (право голосования передано депутату Бабанову О.Т. в письменной форме), Жунус уулу Алтынбек (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Маматов А., Мамытов Т.Т. (право голосования передано депутату Бокоеву К.С. в письменной форме), Мамашова А.Т., Нишанов Н.Н. (право голосования передано депутату Туманбаевой Р.М. в письменной форме), Токтошев Э.Т., Тусунбаев А.А., Тулендыбаев П.Р. (право голосования передано депутату Зулушеву К.А. в письменной форме), Шер-Нияз С.",http://kenesh.kg/ru/article/show/807/protokol-14-ot-26-10-2016-g,95,15 минут,103,1 час,106,,,,,
279,протокол № 13 от 20.10.2016 г.,20.10.2016,8,"Кыдыралиев У.Т. (право голосования передано депутату Жамангулову А.Ж. в письменной форме), Маматов А., Мамытов Т.Т., Масалиев И.А. (право голосования передано депутату Асылбаевой Г.К. в письменной форме), Орозова К.Б. (право голосования передано депутату Артыкбаеву О.М. в письменной форме), Сабиров М.Э., Толонов Д.Э. (право голосования передано депутату Султанбековой Ч.А. в письменной форме), Тулендыбаев П.Р. (право голосования передано депутату Бабанову О.Т. в письменной форме).",http://kenesh.kg/ru/article/show/806/protokol-13-ot-20-10-2016-g,91,15 минут,105,1 час,105,15 минут,110,105,,
280,протокол № 12 от 19.10.2016 г.,19.10.2016,9,"Алтыбаева А.Т. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Баатырбеков А.Б. (право голосования передано депутату Исаеву К.К. в письменной форме), Кыдыралиев У.Т. (право голосования передано депутату Жамангулову А.Ж. в письменной форме), Маматов А., Мамытов Т.Т., Масалиев И.А. (право голосования передано депутату Асылбаевой Г.К. в письменной форме), Сабиров М.Э., Толонов Д.Э. (право голосования передано депутату Султанбековой Ч.А. в письменной форме), Тулендыбаев П.Р. (право голосования передано депутату Бабанову О.Т. в письменной форме).",http://kenesh.kg/ru/article/show/768/protokol-12-ot-19-10-2016-g,93,15 минут,67,1 час,107,15 минут,105,83,,
281,протокол № 11 от 13.10.2016 г.,13.10.2016,14,"Алтыбаева А.Т., Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Арапбаев А.А. (право голосования передано депутату Жылкыбаеву У.К. в письменной форме), Артыкбаев О.М., Жутанов А.Т., Исмаилова А.Ж., Маматов А., Мамытов Т.Т., Никитенко Н.В. (право голосования передано депутату Саляновой А.Ж. в письменной форме), Нишанов Н.Н. (право голосования передано депутату Райымкулову Б.К. в письменной форме), Нышанов С.К., Токтошев Э.Т., Турсунбеков Ч.А., Тулендыбаев П.Р. (право голосования передано депутату Байбакпаеву Э.Дж. в письменной форме).",http://kenesh.kg/ru/article/show/715/protokol-11-ot-13-10-2016-g,96,15 минут,89,15 минут,88,15 минут,110,81,,
282,протокол № 10 от 12.10.2016 г.,12.10.2016,10,"Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Арапбаев А.А. (право голосования передано депутату Жылкыбаеву У.К. в письменной форме), Артыкбаев О.М., Исмаилова А.Ж. (право голосования передано депутату Бабанову О.Т. в письменной форме), Маматов А., Мамытов Т.Т., Никитенко Н.В. (право голосования передано депутату Саляновой А.Ж. в письменной форме), Нишанов Н.Н. (право голосования передано депутату Райымкулову Б.К. в письменной форме) Нышанов С.К., Токтошев Э.Т., Тулендыбаев П.Р. (право голосования передано депутату Байбакпаеву Э.Дж. в письменной форме).",http://kenesh.kg/ru/article/show/702/protokol-10-ot-12-10-2016-g,104,15 минут,99,1 час,109,,,,,
283,протокол № 9 от 06.10.2016 г.,06.10.2016,3,"Джураев С.М. (право голосования передано депутату Мадеминову М.Г. в письменной форме), Кыдыралиев У.Т. (право голосования передано депутату Омурбековой А.С. в письменной форме), Маматов А.",http://kenesh.kg/ru/article/show/701/protokol-9-ot-06-10-2016-g,91,15 минут,105,,,,,,,
284,протокол № 8 от 05.10.2016 г.,05.10.2016,2,"Маматов А., Нурбаев А.М.",http://kenesh.kg/ru/article/show/695/protokol-8-ot-05-10-2016-g,97,15 минут,81,1 час,81,,108,110,,
285,протокол № 7 от 29.09.2016 г.,29.09.2016,8,"Абжалиев А.Т. (право голосования передано депутату Мавляновой М.Э. в письменной форме), Бакиров М.И., Джумабеков Д.А. (право голосования передано депутату Султанбековой Ч.А. в письменной форме), Молдобекова Г.С. (право голосования передано депутату Примову У.Б. в письменной форме), Сатыбалдиев К.У. (право голосования передано депутату Джураеву С.М. в письменной форме), Омуркулов И.Ш. (право голосования передано депутату Аманкулову М.А. в письменной форме), Текебаев О.Ч., Торобаев Б.Э. (право голосования передано депутату Жамалдинову З.И. в письменной форме).",http://kenesh.kg/ru/article/show/652/protokol-7-ot-29-09-2016-g,78,15 минут,96,1 час,106,15 минут,107,79,,
286,протокол № 6 от 28.09.2016 г.,28.09.2016,10,"Абжалиев А.Т., Алимбеков Н.К., Бакиров М.И., Исаева Д.Ш., Матраимов И.И., Мусабекова Ж.А., Сатыбалдиев К.У. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Омуркулов И.Ш. (право голосования передано депутату Аманкулову М.А. в письменной форме), Текебаев О.Ч., Торобаев Б.Э. (право голосования передано депутату Жамалдинову З.И. в письменной форме).",http://kenesh.kg/ru/article/show/651/protokol-6-ot-28-09-2016-g,108,15 минут,100,1 час,87,,102,,,
287,протокол № 5 от 22.09.2016 г.,22.09.2016,7,"Иминов Ф.А. (право голосования передано депутату Сыдыкову Б.У. в письменной форме), Мадеминов М.Г. (право голосования передано депутату Джураеву С.М. в письменной форме), Мамашова А.Т. (право голосования передано депутату Никитенко Н.В. в письменной форме), Нурбаев А.М. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Сатыбалдиев К.У., Сулейманов Б.И. (право голосования передано депутату Никитенко Н.В. в письменной форме), Толонов Д.Э. (право голосования передано депутату Султанбековой Ч.А. в письменной форме).",http://kenesh.kg/ru/article/show/564/protokol-5-ot-22-09-2016-g,111,15 минут,108,1 час,110,,110,,,
288,протокол № 4 от 21.09.2016 г.,21.09.2016,5,"Иминов Ф.А. (право голосования передано депутату Сыдыкову Б.У. в письменной форме), Мадеминов М.Г. (право голосования передано депутату Джураеву С.М. в письменной форме), Нурбаев А.М. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Сатыбалдиев К.У., Толонов Д.Э. (право голосования передано депутату Султанбековой Ч.А. в письменной форме).",http://kenesh.kg/ru/article/show/563/protokol-4-ot-21-09-2016-g,101,15 минут,68,00 часов,109,15 минут,104,,,
